gisco_id,name,registered,turnout,invalid,blank,M,C,L,KD,S,V,MP (1981),SD,Fi,PP,SPI,ÖVR
SE_1498,Tidaholm,9891,8512,0,118,1848,569,419,432,3678,456,404,524,14,42,0,8
SE_1419,Tjörn,11957,10457,3,133,3725,578,1019,1362,2104,309,609,518,29,52,10,6
SE_1452,Tranemo,8799,7554,3,108,1986,1048,439,410,2384,231,363,514,12,42,3,11
SE_1488,Trollhättan,41057,34816,14,423,8273,1268,2537,1501,14445,1995,2319,1695,103,205,2,36
SE_1473,Töreboda,7157,5862,0,99,1427,667,226,306,2169,296,248,373,8,30,1,12
SE_1485,Uddevalla,39922,33817,14,368,9623,1683,2211,2258,11177,1744,2333,2046,130,169,1,60
SE_1491,Ulricehamn,17611,15083,3,194,4370,1813,1010,1170,3903,584,909,995,21,60,41,10
SE_1470,Vara,12352,10364,4,139,3375,1267,574,633,2891,424,376,596,24,54,0,7
SE_1442,Vårgårda,8284,7165,1,87,1639,840,583,931,1883,288,438,415,14,39,0,7
SE_1487,Vänersborg,28630,24391,6,357,6257,1381,1792,1295,8173,1613,1716,1506,114,129,4,48
SE_1492,Åmål,9800,7967,4,102,1949,517,473,410,3123,420,476,429,17,28,0,19
SE_1407,Öckerö,9553,8536,2,112,3045,237,690,1627,1595,261,497,381,40,46,0,3
