gisco_id,name,registered,turnout,invalid,blank,VB (1979),N-VA,Vooruit,CD&V,Open VLD,PTB/PVDA,Groen,Voor U,Volt,PS,MR,LE,Ecolo,GA/SAP,DéFI,CSP,VIVANT,ProDG
BE_93022,Florennes,0,8008,917,0,0,0,0,0,0,918,0,0,0,1128,2741,1540,395,147,222,0,0,0
BE_85011,Florenville,0,4003,499,0,0,0,0,0,0,361,0,0,0,573,1349,743,309,94,75,0,0,0
BE_52022,Fontaine-lÉvêque,0,11022,1247,0,0,0,0,0,0,1840,0,0,0,3066,2787,1126,474,218,264,0,0,0
BE_21007,Vorst (Brussel-Hoofdstad) / Forest (Bruxelles-Capitale),0,25730,1513,0,345,354,240,143,280,5523,1035,34,147,4078,4807,1357,4557,420,897,0,0,0
BE_92048,Fosses-la-Ville,0,7170,672,0,0,0,0,0,0,803,0,0,0,1140,2650,1216,391,128,170,0,0,0
BE_73109,Voeren / Fourons,0,1654,110,0,362,402,102,280,182,63,129,12,12,0,0,0,0,0,0,0,0,0
BE_53028,Frameries,0,13700,1551,0,0,0,0,0,0,2384,0,0,0,3806,3321,1438,638,285,277,0,0,0
BE_51065,Frasnes-lez-Anvaing,0,8529,750,0,0,0,0,0,0,777,0,0,0,1301,2961,1621,758,163,198,0,0,0
BE_56029,Froidchapelle,0,2916,302,0,0,0,0,0,0,325,0,0,0,463,1157,395,129,72,73,0,0,0
BE_23023,Galmaarden / Gammerages,0,6813,378,0,1809,1428,636,1195,477,266,487,85,52,0,0,0,0,0,0,0,0,0
BE_KAE005,Foreign Voters - Flandre Orientale,5464,2426,78,0,284,361,240,191,444,116,595,54,63,0,0,0,0,0,0,0,0,0
BE_21008,Ganshoren,0,12813,916,0,406,377,179,190,222,2622,360,24,65,1994,2999,1175,744,106,434,0,0,0
BE_44020,Gavere,0,10164,527,0,2076,2143,1344,1110,1435,355,1021,107,46,0,0,0,0,0,0,0,0,0
BE_91054,Gedinne,0,3330,342,0,0,0,0,0,0,276,0,0,0,466,1389,572,157,82,46,0,0,0
BE_13008,Geel,0,29685,1245,0,7676,7150,3135,4424,1508,1952,2072,263,260,0,0,0,0,0,0,0,0,0
BE_64029,Geer,0,2615,190,0,0,0,0,0,0,224,0,0,0,413,1049,455,179,37,68,0,0,0
BE_24028,Geetbets,0,4658,209,0,1387,809,640,655,551,197,149,32,29,0,0,0,0,0,0,0,0,0
BE_92142,Gembloux,0,18492,1193,0,0,0,0,0,0,1517,0,0,0,2300,6389,3518,2675,296,604,0,0,0
BE_25031,Genappe / Genepiën,0,11119,650,0,0,0,0,0,0,909,0,0,0,1209,4745,1716,1423,147,320,0,0,0
BE_71016,Genk,0,45460,2346,0,8707,8249,6558,7202,1791,7818,2278,304,207,0,0,0,0,0,0,0,0,0
BE_44021,Gent / Gand,0,171733,7313,0,19714,22973,25697,14036,17877,20782,39268,1590,2483,0,0,0,0,0,0,0,0,0
BE_41018,Geraardsbergen / Grammont,0,25019,1440,0,7751,4176,3141,2727,2201,1588,1529,303,163,0,0,0,0,0,0,0,0,0
BE_52025,Gerpinnes,0,8546,1015,0,0,0,0,0,0,1460,0,0,0,2278,2150,907,348,190,198,0,0,0
BE_92054,Gesves,0,5337,344,0,0,0,0,0,0,431,0,0,0,534,2159,956,713,69,131,0,0,0
BE_71017,Gingelom,0,6479,429,0,1475,1016,1294,647,787,378,345,79,29,0,0,0,0,0,0,0,0,0
BE_35005,Gistel,0,9215,500,0,2579,1625,1236,1343,774,403,594,119,42,0,0,0,0,0,0,0,0,0
BE_24137,Glabbeek,0,4146,156,0,970,795,519,682,352,168,377,90,37,0,0,0,0,0,0,0,0,0
BE_23024,Gooik,0,7066,378,0,1721,1678,515,1223,699,249,478,87,38,0,0,0,0,0,0,0,0,0
BE_82037,Gouvy,0,3595,359,0,0,0,0,0,0,346,0,0,0,378,1130,887,315,102,78,0,0,0
BE_62118,Grâce-Hollogne,0,13297,1315,0,0,0,0,0,0,2764,0,0,0,3360,3030,1524,640,343,321,0,0,0
BE_25037,Grez-Doiceau / Graven,0,9525,473,0,0,0,0,0,0,622,0,0,0,828,4421,1629,1182,136,234,0,0,0
